is_new,first_seen_at,match_score,fit_tier,title,company,location,location_group,category,research,entry_level,posted_at,salary,employment_type,url,matched_skills,warnings
False,2026-06-25T04:02:09+00:00,90,Strong,Associate Computational Biologist,Dana-Farber Cancer Institute,"Boston, MA",Boston / Cambridge,Bioinformatics / Computational Biology,True,True,,"$60,000–$67,466 per year",Full-time,https://careers.dana-farber.org/job/1348/associate-computational-biologist-it-informatics-us-ma-boston-450-brookline-ave,Python; Linux; ETL / pipelines; Genomics,
False,2026-06-25T04:02:09+00:00,89,Strong,Research Assistant – Laboratory of Neurotechnology and Biophysics,The Rockefeller University,"New York, NY",New York City,University / Research,True,True,,"$50,000–$55,000 per year",Full-time,https://careers.rockefeller.edu/jobs/2054,ETL / pipelines,
False,2026-06-25T04:02:09+00:00,84,Strong,Staff Associate Officer of Research – Computational Biology & Bioinformatics,Columbia University,"New York, NY",New York City,Bioinformatics / Computational Biology,True,False,2026-06-18,,Full-time,https://apply.interfolio.com/187490,Git; Genomics,
False,2026-06-25T04:02:09+00:00,84,Strong,Associate Computational Biologist,Dana-Farber Cancer Institute / Broad Institute,"Boston, MA",Boston / Cambridge,Bioinformatics / Computational Biology,True,True,,"$60,000–$67,466 per year",Full-time,https://careers.dana-farber.org/job/174/associate-computational-biologist-it-informatics-us-ma-boston-450-brookline-ave,R; Bash; Linux; Genomics,
False,2026-06-25T04:02:09+00:00,83,Strong,Bioinformatics Analyst,Dana-Farber Cancer Institute / Broad Institute,"Boston, MA",Boston / Cambridge,University / Research,True,True,,"$58,400–$80,400 per year",Full-time,https://careers.dana-farber.org/job/165/bioinformatics-analyst-it-informatics-us-ma-boston-450-brookline-ave,Python; SQL; Genomics,
False,2026-06-25T04:02:09+00:00,78,Strong,Bioinformatics Engineer,Dana-Farber Cancer Institute,"Boston, MA",Boston / Cambridge,University / Research,True,True,,"$75,000–$81,500 per year",Full-time,https://careers.dana-farber.org/job/1206/bioinformatics-engineer-it-informatics-us-ma-boston-450-brookline-ave,Python; SQL,
False,2026-06-25T04:02:09+00:00,67,Good,Bioinformatics Analyst,Dana-Farber Cancer Institute / Broad Institute,"Boston, MA",Boston / Cambridge,Bioinformatics / Computational Biology,True,False,,"$58,400–$80,400 per year",Full-time,https://careers.dana-farber.org/job/435/bioinformatics-analyst-it-informatics-us-ma-boston-450-brookline-ave,Genomics,
False,2026-06-25T04:02:09+00:00,67,Good,Computational Biologist – Marasco Lab,Dana-Farber Cancer Institute,"Boston, MA",Boston / Cambridge,University / Research,True,False,,"$75,000–$91,500 per year",Full-time,https://careers.dana-farber.org/job/1207/computational-biologist-marasco-lab-it-informatics-us-ma-boston-450-brookline-ave,Genomics,
False,2026-06-25T04:02:09+00:00,54,Stretch,Data Analyst,Meter,"San Francisco, CA",San Francisco Bay Area,Data Analysis / Data Science,False,False,2026-06-19,,Full-time,https://jobs.ashbyhq.com/meter/11d53376-ce03-4184-a881-244fc90d796e,,
False,2026-06-25T04:02:09+00:00,44,Stretch,Insights Analyst,Listen Labs,"San Francisco, CA",San Francisco Bay Area,Data Analysis / Data Science,False,False,,,Full-time,https://jobs.ashbyhq.com/listenlabs/d6e5fda8-70a1-4cb8-b858-4d1fb9b30063,,
